id;cf;ragione_sociale;indirizzo_sede;provincia_sede;ragione_sede;cap_sede
1;Intelligent Soft Tuna;Court;Shoes;Technician Wooden;secondary;"8"
2;innovate;Metrics Dong input;silver;circuit orange;Identity;"354748"
3;Cloned knowledge user;Yuan Renminbi;Bike bricks-and-clicks;Iceland;Industrial primary interface;"76650"
4;Adaptive;HTTP Outdoors customized;Wisconsin Guarani;Avon;Implementation Rustic;"5"
5;evolve turquoise asynchronous;Personal Loan Account generating;deposit;Security Architect Incredible Concrete Pizza;Rustic;"51"
6;Pizza Diverse;throughput definition asynchronous;primary Handcrafted impactful;Berkshire superstructure Phased;portals Director;"8653"
7;programming;frictionless hack;Team-oriented Money Market Account Wooden;Assistant Wisconsin User-friendly;niches;"97"
8;Bedfordshire zero administration;Lodge dynamic;Pakistan Rupee recontextualize;Trinidad and Tobago Orchestrator COM;Human end-to-end;"3"
9;back up stable;transmit;Court Plains Senior;enhance black;Hat;"49"
10;transmitter calculating override;invoice Integrated;Toys;withdrawal cultivate;parse COM;"0"
