id;codice_esco;nome;frequenza
1;internet solution Towels neural;copying USB synthesize;75159
2;Overpass Berkshire superstructure;Berkshire Burg synergize;16779
3;Saint Vincent and the Grenadines Credit Card Account Argentina;connecting;2016
4;Keyboard Communications ROI;policy Ergonomic Wooden Car;22567
5;innovative;navigate Uganda Shilling Wooden;54581
6;Metal Technician Jewelery;Optimization neural-net HTTP;6799
7;standardization e-markets;programming;27694
8;robust copy e-commerce;parse Granite Kids;49445
9;Rubber ability;24/365;95713
10;Road;Buckinghamshire tan;52765
