id;username;ruolo
1;Rustic;Awesome Virginia Egyptian Pound
2;Toys local Gabon;Rustic calculating Architect
3;Zloty;magenta withdrawal Planner
4;Hong Kong backing up;clicks-and-mortar contingency Harbors
5;array multi-byte clicks-and-mortar;Arizona
6;interfaces;Intelligent Granite Chair Gorgeous override
7;Handcrafted Guatemala;Jewelery mint green
8;International alarm Maryland;Cambridgeshire Minnesota Usability
9;Iceland Krona Montana Turkmenistan;Plastic Sausages Refined
10;copying protocol Total;indigo Bermudian Dollar (customarily known as Bermuda Dollar) New York
