id;codice_esco;nome
1;Electronics Supervisor Borders;Borders
2;program Ramp Brand;Mauritius navigate Associate
3;reintermediate;Garden implement web-enabled
4;Checking Account Wooden Operations;invoice deposit Persevering
5;leading-edge synergize copy;Configuration Russian Ruble overriding
6;payment;Handcrafted Berkshire Frozen
7;infrastructures Rhode Island back-end;strategize Money Market Account
8;Personal Loan Account transmitter;Administrator
9;virtual Shoes Rustic;Ethiopia
10;hacking French Southern Territories;Montana Granite Assistant
