id;data;indirizzo_sede;citta_sede;cap_sede;provincia_sede
1;2021-10-18;Sleek Soft Hat Buckinghamshire;Mongolia;"51385";1080p
2;2021-10-19;transmitting hack context-sensitive;Down-sized Shoes;"71";zero tolerance Small Frozen Salad
3;2021-10-18;SMTP;instruction set Computer Multi-channelled;"415";Norwegian Krone
4;2021-10-19;synthesizing;AGP;"74";Montserrat Intelligent
5;2021-10-19;Nepal Georgia;harness;"3";Investment Account Rustic Metal Salad
6;2021-10-18;facilitate incubate;Avon firmware;"8";deposit Tunnel Steel
7;2021-10-19;blue New Jersey Way;reciprocal e-tailers Assistant;"08";whiteboard
8;2021-10-19;ADP gold;India SDD Auto Loan Account;"17";zero defect
9;2021-10-19;engineer;Producer neural;"485828";Granite generating Central
10;2021-10-19;Rufiyaa functionalities;revolutionary Kids;"122633";Solutions transmitting
