id;codice_esco;nome;tipo
1;"536088";Investment Account South Dakota hard drive;Tactics
2;"8";Bacon programming;Soft
3;"39";back up;Neck Buckinghamshire Money Market Account
4;"062";Borders International;Borders Avon
5;"161";upward-trending Frozen;plug-and-play sensor
6;"916";Virginia index;Spring alarm
7;"92";Response Netherlands Antillian Guilder Shoes;secondary AI disintermediate
8;"80544";Silver Balboa US Dollar;Program
9;"4215";frame;Generic deposit applications
10;"0628";Paradigm;Plastic Forward Small
